city,gu,dong,park_name,park_type,park_area,park_exercise_facility,park_entertainment_facility,park_benefit_facility,park_cultural_facitiy,park_facility_other,park_open_year,reference_date
서울특별시,서초구,반포동,반  포,근린공원,26092.2,,,,,,1981.0,2018-06-30
서울특별시,서초구,양재동,방아다리1,근린공원,2870.8,,,,,,1988.0,2018-06-30
서울특별시,서초구,양재동,방아다리2,근린공원,2934.3,,,,,,1988.0,2018-06-30
서울특별시,서초구,양재동,양재천,근린공원,19258.0,,,,,,1988.0,2018-06-30
서울특별시,서초구,양재동,마  방,근린공원,6546.6,,,,,,1983.0,2018-06-30
서울특별시,서초구,양재동,양  재,근린공원,32523.4,,,,,,1983.0,2018-06-30
서울특별시,서초구,서초동,용허리,근린공원,4641.9,,,,,,1989.0,2018-06-30
서울특별시,서초구,서초동,명  달,근린공원,5466.4,,,,,,1989.0,2018-06-30
서울특별시,서초구,잠원동,사평리,근린공원,1913.7,,,,,,1989.0,2018-06-30
서울특별시,서초구,잠원동,잠  원,근린공원,2373.5,,,,,,1989.0,2018-06-30
서울특별시,서초구,잠원동,신  동,근린공원,6648.4,,,,,,1979.0,2018-06-30
서울특별시,서초구,양재동,고인돌,근린공원,4579.0,,,,,,,2018-06-30
서울특별시,서초구,양재동,바우뫼,근린공원,16386.1,,,,,,1983.0,2018-06-30
서울특별시,서초구,서초동,서리풀,근린공원,548520.8,,,,,,1971.0,2018-06-30
서울특별시,서초구,반포동,서래골,근린공원,4690.8,,,,,,1995.0,2018-06-30
서울특별시,서초구,잠원동,명주,근린공원,4952.6,,,,,,1979.0,2018-06-30
서울특별시,서초구,반포동,반딧불,근린공원,13606.8,,,,,,2005.0,2018-06-30
서울특별시,서초구,반포동,원촌,근린공원,9941.7,,,,,,2004.0,2018-06-30
서울특별시,서초구,우면동,태봉,근린공원,26555.7,,,,,,2005.0,2018-06-30
서울특별시,서초구,우면동,섬들,근린공원,15590.3,,,,,,2005.0,2018-06-30
서울특별시,서초구,우면동,망루,근린공원,56497.1,,,,,,2005.0,2018-06-30
서울특별시,서초구,우면동,송동,근린공원,27472.8,,,,,,2009.0,2018-06-30
서울특별시,서초구,양재동,말죽거리,근린공원,350200.0,,,,,,1984.0,2018-06-30
서울특별시,서초구,방배동,방배,근린공원,228107.0,,,,,,1971.0,2018-06-30
서울특별시,서초구,방배동,도구머리,근린공원,69578.4,,,,,,1978.0,2018-06-30
서울특별시,서초구,방배동,방배동,근린공원,7003.0,,,,,,2000.0,2018-06-30
서울특별시,서초구,방배동,뒷  벌,어린이공원,5794.8,,,,,,1972.0,2018-06-30
서울특별시,서초구,방배동,청  두,어린이공원,1657.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,방배동,가  꿀,어린이공원,993.5,,,,,,1972.0,2018-06-30
서울특별시,서초구,방배동,까  치,어린이공원,1015.3,,,,,,1972.0,2018-06-30
서울특별시,서초구,방배동,새  말,어린이공원,984.8,,,,,,1972.0,2018-06-30
서울특별시,서초구,방배동,너른골,어린이공원,1216.0,,,,,,1971.0,2018-06-30
서울특별시,서초구,방배동,정  문,어린이공원,993.1,,,,,,1972.0,2018-06-30
서울특별시,서초구,방배동,안  산,어린이공원,1615.6,,,,,,1971.0,2018-06-30
서울특별시,서초구,방배동,방  현,어린이공원,1781.5,,,,,,1971.0,2018-06-30
서울특별시,서초구,방배동,동  덕,어린이공원,936.0,,,,,,1978.0,2018-06-30
서울특별시,서초구,서초동,사도감,어린이공원,946.7,,,,,,1978.0,2018-06-30
서울특별시,서초구,서초동,예  술,어린이공원,1006.3,,,,,,1978.0,2018-06-30
서울특별시,서초구,서초동,신  중,어린이공원,974.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,서초동,장  안,어린이공원,969.0,,,,,,1971.0,2018-06-30
서울특별시,서초구,서초동,마산말,어린이공원,984.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,서초동,분토골,어린이공원,999.1,,,,,,1972.0,2018-06-30
서울특별시,서초구,서초동,상명달,어린이공원,991.5,,,,,,1972.0,2018-06-30
서울특별시,서초구,서초동,궁  현,어린이공원,985.5,,,,,,1971.0,2018-06-30
서울특별시,서초구,서초동,하명달,어린이공원,991.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,서초동,당  골,어린이공원,1616.2,,,,,,1971.0,2018-06-30
서울특별시,서초구,반포동,고무래,어린이공원,5506.9,,,,,,,2018-06-30
서울특별시,서초구,잠원동,싸리재,어린이공원,991.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,잠원동,주  흥,어린이공원,959.2,,,,,,1977.0,2018-06-30
서울특별시,서초구,반포동,언구비,어린이공원,1031.9,,,,,,1971.0,2018-06-30
서울특별시,서초구,반포동,청  룡,어린이공원,945.1,,,,,,1971.0,2018-06-30
서울특별시,서초구,반포동,서  래,어린이공원,997.1,,,,,,1971.0,2018-06-30
서울특별시,서초구,양재동,종  열,어린이공원,847.8,,,,,,1971.0,2018-06-30
서울특별시,서초구,우면동,암산,어린이공원,1506.0,,,,,,1978.0,2018-06-30
서울특별시,서초구,우면동,잿말,어린이공원,2167.0,,,,,,1978.0,2018-06-30
서울특별시,서초구,우면동,식유촌,어린이공원,1009.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,우면동,송동,어린이공원,1042.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,신원동,세원,어린이공원,1369.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,신원동,본마을,어린이공원,1234.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,신원동,청계숲,어린이공원,1470.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,신원동,새쟁이,어린이공원,1586.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,내곡동,안골,어린이공원,1192.0,,,,,,1979.0,2018-06-30
서울특별시,서초구,내곡동,홍씨마을,어린이공원,1461.0,,,,,,,2018-06-30
서울특별시,서초구,내곡동,아래샘,어린이공원,1059.0,,,,,,,2018-06-30
서울특별시,서초구,내곡동,윗샘,어린이공원,1084.0,,,,,,,2018-06-30
서울특별시,서초구,방배동,남태령,어린이공원,1328.0,,,,,,,2018-06-30
서울특별시,서초구,양재동,양  재,어린이공원,990.4,,,,,,1971.0,2018-06-30
서울특별시,서초구,양재동,동  산,어린이공원,1890.4,,,,,,1979.0,2018-06-30
서울특별시,서초구,양재동,잔  디,어린이공원,1664.3,,,,,,1978.0,2018-06-30
서울특별시,서초구,양재동,계  리,어린이공원,1057.9,,,,,,1978.0,2018-06-30
서울특별시,서초구,반포동,나  리,어린이공원,4155.0,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,만  남,어린이공원,2965.0,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,푸  른,어린이공원,1851.0,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,초  롱,어린이공원,2575.0,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,한  수,어린이공원,4400.0,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,파랑새,어린이공원,4188.3,,,,,,1986.0,2018-06-30
서울특별시,서초구,잠원동,반  원,어린이공원,6020.9,,,,,,1986.0,2018-06-30
서울특별시,서초구,반포동,장  미,어린이공원,4083.0,,,,,,1986.0,2018-06-30
서울특별시,서초구,양재동,비  석,어린이공원,1500.6,,,,,,,2018-06-30
서울특별시,서초구,양재동,구  룡,어린이공원,1651.3,,,,,,,2018-06-30
서울특별시,서초구,서초동,교  대,어린이공원,993.2,,,,,,1982.0,2018-06-30
서울특별시,서초구,잠원동,코  아,어린이공원,1717.0,,,,,,1985.0,2018-06-30
서울특별시,서초구,반포동,미  도,어린이공원,988.3,,,,,,1986.0,2018-06-30
서울특별시,서초구,양재동,개  뜰,어린이공원,1530.4,,,,,,,2018-06-30
서울특별시,서초구,양재동,버  들,어린이공원,1487.4,,,,,,,2018-06-30
서울특별시,서초구,양재동,샛  별,어린이공원,1500.1,,,,,,,2018-06-30
서울특별시,서초구,양재동,두둑재,어린이공원,1703.8,,,,,,,2018-06-30
서울특별시,서초구,양재동,횃  불,어린이공원,1496.9,,,,,,,2018-06-30
서울특별시,서초구,양재동,용  말,어린이공원,1994.5,,,,,,,2018-06-30
서울특별시,서초구,잠원동,새  터,어린이공원,1100.0,,,,,,1995.0,2018-06-30
서울특별시,서초구,잠원동,늘푸른,어린이공원,1600.0,,,,,,1995.0,2018-06-30
서울특별시,서초구,잠원동,아  름,어린이공원,1100.0,,,,,,1995.0,2018-06-30
서울특별시,서초구,우면동,바우뫼,어린이공원,2023.7,,,,,,1989.0,2018-06-30
서울특별시,서초구,우면동,동  문,어린이공원,1515.2,,,,,,1989.0,2018-06-30
서울특별시,서초구,우면동,효  자,어린이공원,2481.0,,,,,,,2018-06-30
서울특별시,서초구,내곡동,능안,어린이공원,1156.0,,,,,,2005.0,2018-06-30
서울특별시,서초구,방배동,효령,어린이공원,1432.8,,,,,,,2018-06-30
서울특별시,서초구,서초동,새싹,어린이공원,840.0,,,,,,2005.0,2018-06-30
서울특별시,서초구,우면동,섶다리,어린이공원,1729.5,,,,,,2005.0,2018-06-30
서울특별시,서초구,우면동,샛말,어린이공원,1644.7,,,,,,,2018-06-30
서울특별시,서초구,방배동,햇 님,어린이공원,2119.1,,,,,,,2018-06-30
서울특별시,서초구,방배동,소라,어린이공원,1782.4,,,,,,1975.0,2018-06-30
서울특별시,서초구,반포동,오솔길,어린이공원,2802.8,,,,,,2006.0,2018-06-30
서울특별시,서초구,우면동,큰마을,어린이공원,1964.4,,,,,,2007.0,2018-06-30
서울특별시,서초구,우면동,솔말,어린이공원,2720.0,,,,,,2009.0,2018-06-30
서울특별시,서초구,방배동,달님,어린이공원,259.5,,,,,,,2018-06-30
서울특별시,서초구,우면동,우면,수변공원,21609.1,,,,,,2009.0,2018-06-30
서울특별시,양천구,신정동,신정3동소공원,소공원,3353.0,야외헬스형운동기구 1개,,,,,2012.0,2018-07-31
서울특별시,관악구,신원동,호박골,어린이공원,417.0,,흔들말+조합놀이대,,,,1944.0,2018-08-16
서울특별시,관악구,남현동,군아파트,어린이공원,926.0,,그네+조합놀이대,,,,1970.0,2018-08-16
서울특별시,관악구,남현동,상록,어린이공원,1557.0,,그네+흔들말+조합놀이대,,,,1970.0,2018-08-16
서울특별시,관악구,남현동,남현,어린이공원,554.0,,,,,,1970.0,2018-08-16
서울특별시,관악구,남현동,예촌,어린이공원,1509.0,,그네+흔들말+조합놀이대,화장실,,,1970.0,2018-08-16
서울특별시,관악구,신사동,남부,어린이공원,990.0,,그네+흔들말+조합놀이대+오르는기구,,,,1970.0,2018-08-16
서울특별시,관악구,신림동,새들,어린이공원,979.0,,그네+흔들말+조합놀이대+오르는기구,,,,1970.0,2018-08-16
